Product Name,Color,Product URL,Scraped Image URL
Pesci Vest,HUMUS BEIGE,https://www.aritzia.com/us/en/product/pesci-vest/114828.html?dwvar_114828_color=22064,https://assets.aritzia.com/image/upload/medium/s24_04_a04_114828_22064_off_a.jpg
Pesci Vest,ASHEN,https://www.aritzia.com/us/en/product/pesci-vest/114828.html?dwvar_114828_color=160,https://assets.aritzia.com/image/upload/medium/s24_04_a04_114828_160_off_a.jpg
Wedgie Straight Jean,UNSTPPABLE WEAR,https://www.aritzia.com/us/en/product/wedgie-straight-jean/111338.html?dwvar_111338_color=31210,https://assets.aritzia.com/image/upload/medium/f23_98_a06_111338_31210_off_a.jpg
Mercy Cargo Pant,BLUSH GREY,https://www.aritzia.com/us/en/product/mercy-cargo-pant/113769.html?dwvar_113769_color=33053,https://assets.aritzia.com/image/upload/medium/s24_04_a06_113769_33053_off_a.jpg
Mercy Cargo Pant,LIGHT BIRCH,https://www.aritzia.com/us/en/product/mercy-cargo-pant/113769.html?dwvar_113769_color=11420,https://assets.aritzia.com/image/upload/medium/s24_04_a06_113769_11420_off_a.jpg
Mercy Cargo Pant,BLACK,https://www.aritzia.com/us/en/product/mercy-cargo-pant/113769.html?dwvar_113769_color=1274,https://assets.aritzia.com/image/upload/medium/s24_04_a06_113769_1274_off_a.jpg
Mercy Cargo Pant,DARK OLIVE,https://www.aritzia.com/us/en/product/mercy-cargo-pant/113769.html?dwvar_113769_color=2819,https://assets.aritzia.com/image/upload/medium/s24_04_a06_113769_2819_off_a.jpg
Mercy Cargo Pant,GOLD CAMEL,https://www.aritzia.com/us/en/product/mercy-cargo-pant/113769.html?dwvar_113769_color=15033,https://assets.aritzia.com/image/upload/medium/f23_04_a06_113769_15033_off_a.jpg
New Essential Relaxed Poplin Shirt,FELIX STRIPE WHITE/TAN,https://www.aritzia.com/us/en/product/new-essential-relaxed-poplin-shirt/112695.html?dwvar_112695_color=32768,https://assets.aritzia.com/image/upload/medium/s24_01_a02_112695_32768_off_a.jpg
New Essential Relaxed Poplin Shirt,SMONE STRP LTBRCH/BLK,https://www.aritzia.com/us/en/product/new-essential-relaxed-poplin-shirt/112695.html?dwvar_112695_color=32765,https://assets.aritzia.com/image/upload/medium/s24_01_a02_112695_32765_off_a.jpg
Contour Bandeau Top,BLACK,https://www.aritzia.com/us/en/product/contour-bandeau-top/122878.html?dwvar_122878_color=1274,https://assets.aritzia.com/image/upload/medium/s24_99_a01_122878_1274_off_a.jpg
Contour Bandeau Top,WHITE,https://www.aritzia.com/us/en/product/contour-bandeau-top/122878.html?dwvar_122878_color=1275,https://assets.aritzia.com/image/upload/medium/s24_99_a01_122878_1275_off_a.jpg
Josette Pleated Skirt,ADMIRAL,https://www.aritzia.com/us/en/product/josette-pleated-skirt/111448.html?dwvar_111448_color=10230,https://assets.aritzia.com/image/upload/medium/s24_02_a07_111448_10230_off_a.jpg
Josette Pleated Skirt,DELILAH R MC BR/HZ GR,https://www.aritzia.com/us/en/product/josette-pleated-skirt/111448.html?dwvar_111448_color=31492,https://assets.aritzia.com/image/upload/medium/s24_02_a07_111448_31492_off_a.jpg
Josette Pleated Skirt,BLACK,https://www.aritzia.com/us/en/product/josette-pleated-skirt/111448.html?dwvar_111448_color=1274,https://assets.aritzia.com/image/upload/medium/s24_02_a07_111448_1274_off_a.jpg
The '90s Tube Maxi Denim Dress,UNDER PRESSURE,https://www.aritzia.com/us/en/product/the-%2790s-tube-maxi-denim-dress/116280.html?dwvar_116280_color=31906,https://assets.aritzia.com/image/upload/medium/s24_10_a08_116280_31906_off_a.jpg
The '90s Tube Maxi Denim Dress,BLACK EYELINER,https://www.aritzia.com/us/en/product/the-%2790s-tube-maxi-denim-dress/116280.html?dwvar_116280_color=16408,https://assets.aritzia.com/image/upload/medium/s24_10_a08_116386_16408_off_a.jpg
TnaBUTTER™ Reverb Camisole,BLACK,https://www.aritzia.com/us/en/product/tnabutter%E2%84%A2-reverb-camisole/107156.html?dwvar_107156_color=1274,https://assets.aritzia.com/image/upload/medium/f23_19_a01_107156_1274_off_a.jpg
Flock Sweater,CONSTANT CAMEL,https://www.aritzia.com/us/en/product/flock-sweater/120798.html?dwvar_120798_color=4322,https://assets.aritzia.com/image/upload/medium/s24_04_a03_120798_4322_off_a.jpg
Flock Sweater,HEATHER BIRCH,https://www.aritzia.com/us/en/product/flock-sweater/120798.html?dwvar_120798_color=7325,https://assets.aritzia.com/image/upload/medium/s24_04_a03_120798_7325_off_a.jpg
Contour Squareneck Bodysuit,HOT CHEEKY RED,https://www.aritzia.com/us/en/product/contour-squareneck-bodysuit/118756.html?dwvar_118756_color=32435,https://assets.aritzia.com/image/upload/medium/s24_99_a28_118756_32435_off_a.jpg
Troop Cargo Skirt,GD ARMY GREEN,https://www.aritzia.com/us/en/product/troop-cargo-skirt/110986.html?dwvar_110986_color=23144,https://assets.aritzia.com/image/upload/medium/s24_03_a07_110986_23144_off_a.jpg
Troop Cargo Skirt,GD FATIGUE,https://www.aritzia.com/us/en/product/troop-cargo-skirt/110986.html?dwvar_110986_color=14292,https://assets.aritzia.com/image/upload/medium/f23_03_a07_110986_14292_off_a.jpg
Troop Cargo Skirt,GD BLACK,https://www.aritzia.com/us/en/product/troop-cargo-skirt/110986.html?dwvar_110986_color=13317,https://assets.aritzia.com/image/upload/medium/s24_03_a07_110986_13317_off_a.jpg
Troop Cargo Skirt,GD SAVILLE,https://www.aritzia.com/us/en/product/troop-cargo-skirt/110986.html?dwvar_110986_color=23411,https://assets.aritzia.com/image/upload/medium/f23_03_a07_110986_23411_off_a.jpg
New Bridger Cargo Pant,BLACK,https://www.aritzia.com/us/en/product/new-bridger-cargo-pant/119640.html?dwvar_119640_color=1274,https://assets.aritzia.com/image/upload/medium/s24_04_a06_119640_1274_off_a.jpg
New Bridger Cargo Pant,RICH MOCHA BROWN,https://www.aritzia.com/us/en/product/new-bridger-cargo-pant/119640.html?dwvar_119640_color=18891,https://assets.aritzia.com/image/upload/medium/s24_04_a06_119640_18891_off_a.jpg
New Bridger Cargo Pant,CONSTANT CAMEL,https://www.aritzia.com/us/en/product/new-bridger-cargo-pant/119640.html?dwvar_119640_color=4322,https://assets.aritzia.com/image/upload/medium/s24_04_a06_119640_4322_off_a.jpg
Smooth Seamless Giselle Hip Tube Top,BLACK,https://www.aritzia.com/us/en/product/smooth-seamless-giselle-hip-tube-top/116794.html?dwvar_116794_color=1274,https://assets.aritzia.com/image/upload/medium/s24_99_a01_116794_1274_off_a.jpg
Smooth Seamless Giselle Hip Tube Top,FLUENT TAUPE,https://www.aritzia.com/us/en/product/smooth-seamless-giselle-hip-tube-top/116794.html?dwvar_116794_color=23833,https://assets.aritzia.com/image/upload/medium/s24_99_a01_116794_23833_off_a.jpg
BUTTER Divinity Jumpsuit,COAL GREY,https://www.aritzia.com/us/en/product/butter-divinity-jumpsuit/117020.html?dwvar_117020_color=19629,https://assets.aritzia.com/image/upload/medium/s24_14_a27_117020_19629_off_a.jpg
BUTTER Divinity Jumpsuit,TURNER TAUPE,https://www.aritzia.com/us/en/product/butter-divinity-jumpsuit/117020.html?dwvar_117020_color=19049,https://assets.aritzia.com/image/upload/medium/s24_14_a27_117020_19049_off_a.jpg
BUTTER Divinity Jumpsuit,BLACK,https://www.aritzia.com/us/en/product/butter-divinity-jumpsuit/117020.html?dwvar_117020_color=1274,https://assets.aritzia.com/image/upload/medium/s24_14_a27_117020_1274_off_a.jpg
Astute Pant,FELTED TAUPE,https://www.aritzia.com/us/en/product/astute-pant/117650.html?dwvar_117650_color=28462,https://assets.aritzia.com/image/upload/medium/s24_01_a06_117650_28462_off_a.jpg
Astute Pant,BLACK,https://www.aritzia.com/us/en/product/astute-pant/117650.html?dwvar_117650_color=1274,https://assets.aritzia.com/image/upload/medium/s24_01_a06_117650_1274_off_a.jpg
Contour Off-Shoulder Longsleeve Dress,SLAB BLUE,https://www.aritzia.com/us/en/product/contour-off-shoulder-longsleeve-dress/118305.html?dwvar_118305_color=27638,https://assets.aritzia.com/image/upload/medium/s24_99_a08_118305_27638_off_a.jpg
