Product Name,Color,Product URL,Unique Color ID,Price Before,Price After
Malibu Linen Dress,Sunflower,https://www.thereformation.com/products/malibu-linen-dress/1315265SFW.html?dwvar_1315265SFW_color=SFW,S21N6L15W5R,$278,$83.40
Malibu Linen Dress,Tuscan Sun,https://www.thereformation.com/products/malibu-linen-dress/1315265SFW.html?dwvar_1315265SFW_color=TCS,T21S3A14S21N,$278,$83.40
Dasha Silk Dress,Algae Bloom,https://www.thereformation.com/products/dasha-silk-dress/1315938MOR.html?dwvar_1315938MOR_color=ALG,A12G1E2L15O13,$348,$104.40
Dasha Silk Dress,Morel,https://www.thereformation.com/products/dasha-silk-dress/1315938MOR.html?dwvar_1315938MOR_color=MOR,M15R5L,$348,$104.40
Paige Top,Black,https://www.thereformation.com/products/paige-top/1314952WHT.html?dwvar_1314952WHT_color=BLK,B12A3K,$148,$59.20
Paige Top,White,https://www.thereformation.com/products/paige-top/1314952WHT.html?dwvar_1314952WHT_color=WHT,W8I20E,$148,$59.20
Dillon Linen Top,Napoli,https://www.thereformation.com/products/dillon-linen-top/1310236REI.html?dwvar_1310236REI_color=NPO,N1P15L9,$128,$38.40
Dillon Linen Top,Reign,https://www.thereformation.com/products/dillon-linen-top/1310236REI.html?dwvar_1310236REI_color=REI,R5I7N,$128,$38.40
Parma Dress,Consuelo,https://www.thereformation.com/products/parma-dress/1313232CSE.html?dwvar_1313232CSE_color=CSE,C15N19U5L15,$298,$89.40
Parma Dress,Super Bloom,https://www.thereformation.com/products/parma-dress/1313232CSE.html?dwvar_1313232CSE_color=SBM,S21P5R2L15O13,$298,$89.40
Selah Silk Dress,Black,https://www.thereformation.com/products/selah-silk-dress/1315459LEE.html?dwvar_1315459LEE_color=BLK,B12A3K,$378,$113.40
Selah Silk Dress,Leo,https://www.thereformation.com/products/selah-silk-dress/1315459LEE.html?dwvar_1315459LEE_color=LEE,L5O,$378,$113.40
Selah Silk Dress,Tarragon,https://www.thereformation.com/products/selah-silk-dress/1315459LEE.html?dwvar_1315459LEE_color=TAV,T1R18A7O14,$378,$113.40
