Product Name,Color,Product URL,Unique Color ID, Scraped Available Sizes,Swatch Image URL,Scraped Image URL
Polka-dot pleated pants,Black,https://shop.mango.com/us/en/p/women/pants/party/polka-dot-pleated-pants_67066341?c=99,B12A3K, , null, https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67066341_99_B.jpg?ts=1706877211072&im=SmartCrop,width=320,height=448&imdensity=1
Parachute skirt with side zipper,Dark Navy,https://shop.mango.com/us/en/p/women/skirts/long/parachute-skirt-with-side-zipper_67057910?c=69,D1R11N1V25, , null, https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67057910_69_B.jpg?ts=1709894219784&im=SmartCrop,width=320,height=448&imdensity=1
Blanca straight-fit cropped jeans,White,https://shop.mango.com/us/en/p/women/jeans/straight/blanca-straight-fit-cropped-jeans_77050588?c=01,W8I20E, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77050588_01_C.png?imwidth=10&imdensity=1&ts=1713971069724, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77050588_01_B.jpg?ts=1713970154829&im=SmartCrop,width=320,height=448&imdensity=1
Short-sleeved lyocell shirt,Green,https://shop.mango.com/us/en/p/women/shirts/shirts/short-sleeved-lyocell-shirt_77014034?c=43,G18E5N, , https://shop.mango.com/assets/rcs/col_nrf_v3/300.png?imwidth=10&imdensity=1&ts=1, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77014034_43_B.jpg?ts=1718094449892&im=SmartCrop,width=320,height=448&imdensity=1
Natural fiber sack bag,Leather,https://shop.mango.com/us/en/p/women/bags/shoulder-bags/natural-fiber-sack-bag_67046315?c=CU,L5A20H5R, , null, https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67046315_CU_B.jpg?ts=1712838893937&im=SmartCrop,width=320,height=448&imdensity=1
Miami medium-rise straight-fit jeans,White,https://shop.mango.com/us/en/p/women/jeans/straight/miami-medium-rise-straight-fit-jeans_77010358?c=01,W8I20E, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77010358_01_C.png?imwidth=10&imdensity=1&ts=1712576637219, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77010358_01_B.jpg?ts=1712576637219&im=SmartCrop,width=320,height=448&imdensity=1
Openwork knit pants,Green,https://shop.mango.com/us/en/p/women/pants/wideleg/openwork-knit-pants_77070379?c=43,G18E5N, , null, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77070379_43_B.jpg?ts=1714035874266&im=SmartCrop,width=320,height=448&imdensity=1
Contrast-stripe bomber jacket,Blue,https://shop.mango.com/us/en/p/women/jackets/bombers/contrast-stripe-bomber-jacket_77072926?c=52,B12U5, , null, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77072926_52_B.jpg?ts=1717515250443&im=SmartCrop,width=320,height=448&imdensity=1
Printed long dress,Red,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/printed-long-dress_77022925?c=70,R5D, , null, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77022925_70_B.jpg?ts=1715943833117&im=SmartCrop,width=320,height=448&imdensity=1
Striped knit sweater,Dark Navy,https://shop.mango.com/us/en/p/women/sweaters-and-cardigans/sweaters/striped-knit-sweater_67013273?c=56,D1R11N1V25, , null, https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67013273_56_B.jpg?ts=1699290203212&im=SmartCrop,width=320,height=448&imdensity=1
Asymmetrical denim skirt,Off White,https://shop.mango.com/us/en/p/women/skirts/midi/asymmetrical-denim-skirt_67059231?c=02,O6F23H9T5, , null, https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67059231_02_B.jpg?ts=1714998998117&im=SmartCrop,width=320,height=448&imdensity=1
Heeled sandals with strap and buckle,Red,https://shop.mango.com/us/en/p/women/shoes/party/heeled-sandals-with-strap-and-buckle_77032927?c=70,R5D, , null, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77032927_70_B.jpg?ts=1716302126516&im=SmartCrop,width=320,height=448&imdensity=1
Contrast V-neck vest,Khaki,https://shop.mango.com/us/en/p/women/vests/contrast-v-neck-vest_67087142?c=37,K8A11I, , null, https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67087142_37_B.jpg?ts=1710347809651&im=SmartCrop,width=320,height=448&imdensity=1
Printed dress with asymmetrical hem,Pink,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/printed-dress-with-asymmetrical-hem_77030629?c=85,P9N11, , null, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77030629_85_B.jpg?ts=1715092492952&im=SmartCrop,width=320,height=448&imdensity=1
Check bow dress,Green,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/check-bow-dress_77082922?c=43,G18E5N, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77082922_43_C.png?imwidth=10&imdensity=1&ts=1715169879279, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77082922_43_B.jpg?ts=1715169879279&im=SmartCrop,width=320,height=448&imdensity=1
Straight crochet pants,Ecru,https://shop.mango.com/us/en/p/women/pants/straight/straight-crochet-pants_77062005?c=05,E3R21, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77062005_05_C.png?imwidth=10&imdensity=1&ts=1718804068443, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77062005_05_B.jpg?ts=1718804068443&im=SmartCrop,width=320,height=448&imdensity=1
Linen blazer with buttoned cuffs,Light/Pastel Grey,https://shop.mango.com/us/en/p/women/blazers/plus-sizes/linen-blazer-with-buttoned-cuffs_67078654?c=06,L9G8T16A19T5, , https://shop.mango.com/assets/rcs/pics/static/T6/colv3/67078654_06_C.png?imwidth=10&imdensity=1&ts=1709903645822, https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67078654_06_B.jpg?ts=1709903645822&im=SmartCrop,width=320,height=448&imdensity=1
Long floral-print dress,Blue,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/long-floral-print-dress_77012928?c=52,B12U5, , null, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77012928_52_B.jpg?ts=1715348077385&im=SmartCrop,width=320,height=448&imdensity=1
Ruffles printed blouse,Pink,https://shop.mango.com/us/en/p/women/shirts/blouses/ruffles-printed-blouse_77094027?c=85,P9N11, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77094027_85_C.png?imwidth=10&imdensity=1&ts=1713521118786, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77094027_85_B.jpg?ts=1713519301705&im=SmartCrop,width=320,height=448&imdensity=1
Linen dress with knot detail,Dark Navy,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/linen-dress-with-knot-detail_77020371?c=56,D1R11N1V25, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77020371_56_C.png?imwidth=10&imdensity=1&ts=1714120488731, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77020371_56_B.jpg?ts=1714120488731&im=SmartCrop,width=320,height=448&imdensity=1
Leather straps sandals,Black,https://shop.mango.com/us/en/p/women/shoes/leather/leather-straps-sandals_77050290?c=99,B12A3K, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77050290_99_C.png?imwidth=10&imdensity=1&ts=1712078140225, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77050290_99_B.jpg?ts=1712078140225&im=SmartCrop,width=320,height=448&imdensity=1
Mid waist culotte jeans,Sand,https://shop.mango.com/us/en/p/women/jeans/wideleg/mid-waist-culotte-jeans_77060586?c=07,S1N4, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77060586_07_C.png?imwidth=10&imdensity=1&ts=1716388434788, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77060586_07_B.jpg?ts=1716386634964&im=SmartCrop,width=320,height=448&imdensity=1
Printed halter gown,Turquoise,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/printed-halter-gown_67009256?c=46,T21R17U15I19E, , null, https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67009256_46_B.jpg?ts=1711471532495&im=SmartCrop,width=320,height=448&imdensity=1
Denim skort,Medium Blue,https://shop.mango.com/us/en/p/women/pants/shorts/denim-skort_77090345?c=TM,M5D9U13B12U5, , null, null
Ruffles printed blouse,Green,https://shop.mango.com/us/en/p/women/shirts/blouses/ruffles-printed-blouse_77094027?c=43,G18E5N, , https://shop.mango.com/assets/rcs/pics/static/T7/colv3/77094027_43_C.png?imwidth=10&imdensity=1&ts=1713521118786, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77094027_43_B.jpg?ts=1713519301705&im=SmartCrop,width=320,height=448&imdensity=1
Asymmetric ruched top,Blue,https://shop.mango.com/us/en/p/women/tops/party/asymmetric-ruched-top_77020388?c=52,B12U5, , null, https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77020388_52_B.jpg?ts=1713891879501&im=SmartCrop,width=320,height=448&imdensity=1
