Product Name,Color,Product URL,Unique Color ID, Swatch URL,Scraped Image URL
Market Jumpsuit,SLAB BLUE,https://www.aritzia.com/us/en/product/market-jumpsuit/82712.html?dwvar_82712_color=27638,S12A2B12U5,JSHandle:https://assets.aritzia.com/image/upload/swatch/s24_04_a27_82712_27638_sw.jpg,https://assets.aritzia.com/image/upload/medium/s24_04_a27_82712_27638_off_a.jpg
Olive Midi Pleated Skirt,DELILAH SCRB/WKR TN,https://www.aritzia.com/us/en/product/olive-midi-pleated-skirt/112453.html?dwvar_112453_color=31493,D5L9L1H19C18,JSHandle:https://assets.aritzia.com/image/upload/swatch/s24_02_a07_112453_31493_sw.jpg,https://assets.aritzia.com/image/upload/medium/s24_02_a07_112453_31493_off_a.jpg
Olive Midi Pleated Skirt,DELILAH R MC BR/HZ GR,https://www.aritzia.com/us/en/product/olive-midi-pleated-skirt/112453.html?dwvar_112453_color=31492,D5L9L1H18M3,JSHandle:https://assets.aritzia.com/image/upload/swatch/s24_02_a07_112453_31492_sw.jpg,https://assets.aritzia.com/image/upload/medium/s24_02_a07_112453_31492_off_a.jpg
Olive Midi Pleated Skirt,WICKER TAN,https://www.aritzia.com/us/en/product/olive-midi-pleated-skirt/112453.html?dwvar_112453_color=28150,W9C11E18T1N,JSHandle:https://assets.aritzia.com/image/upload/swatch/f23_02_a07_112453_28150_sw.jpg,https://assets.aritzia.com/image/upload/medium/f23_02_a07_112453_28150_off_a.jpg
Olive Midi Pleated Skirt,BLACK,https://www.aritzia.com/us/en/product/olive-midi-pleated-skirt/112453.html?dwvar_112453_color=1274,B12A3K,JSHandle:https://assets.aritzia.com/image/upload/swatch/f23_02_a07_112453_1274_sw.jpg,https://assets.aritzia.com/image/upload/medium/f23_02_a07_112453_1274_off_a.jpg
Olive Midi Pleated Skirt,ADMIRAL,https://www.aritzia.com/us/en/product/olive-midi-pleated-skirt/112453.html?dwvar_112453_color=10230,A4M9R1L,JSHandle:https://assets.aritzia.com/image/upload/swatch/f23_02_a07_112453_10230_sw.jpg,https://assets.aritzia.com/image/upload/medium/f23_02_a07_112453_10230_off_a.jpg
The Pillow Puff Long,BLACK,https://www.aritzia.com/us/en/product/the-pillow-puff-long/114157.html?dwvar_114157_color=1274,B12A3K,JSHandle:https://assets.aritzia.com/image/upload/swatch/f24_a04_114157_1274_sw.jpg,https://assets.aritzia.com/image/upload/medium/f24_a04_114157_1274_off_a.jpg
The Pillow Puff Long,HAZE GREY,https://www.aritzia.com/us/en/product/the-pillow-puff-long/114157.html?dwvar_114157_color=11157,H1Z5G18E25,JSHandle:https://assets.aritzia.com/image/upload/swatch/f24_a04_114157_11157_sw.jpg,https://assets.aritzia.com/image/upload/medium/f24_a04_114157_11157_off_a.jpg
The Pillow Puff Long,TURNER TAUPE,https://www.aritzia.com/us/en/product/the-pillow-puff-long/114157.html?dwvar_114157_color=19049,T21R14E18T1U16,JSHandle:https://assets.aritzia.com/image/upload/swatch/f24_a04_114157_19049_sw.jpg,https://assets.aritzia.com/image/upload/medium/f24_a04_114157_19049_off_a.jpg
The Pillow Puff Long,OLIVE LEAF GREEN,https://www.aritzia.com/us/en/product/the-pillow-puff-long/114157.html?dwvar_114157_color=18257,O12I22E12E1F7,JSHandle:https://assets.aritzia.com/image/upload/swatch/f24_a04_114157_18257_sw.jpg,https://assets.aritzia.com/image/upload/medium/f24_a04_114157_18257_off_a.jpg
