Product Name,Product URL,Scraped Image URL
Mid-length satin-effect skirt,https://us.sandro-paris.com/en/p/mid-length-satin-effect-skirt/MFPJU01264_D042.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwb0938409/images/hi-res/Maje_MFPJU01264-D042_H_1.jpg?sw=720&sh=955
Embroidered jeans,https://us.sandro-paris.com/en/p/embroidered-jeans/MFPJE00585_0201.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwe42e6079/images/hi-res/Maje_MFPJE00585-0201_H_1.jpg?sw=720&sh=955
Short terry knit dress,https://us.sandro-paris.com/en/p/short-terry-knit-dress/MFPRO03435_0101.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw29601d03/images/hi-res/Maje_MFPRO03435-0101_H_1.jpg?sw=720&sh=955
Terry knit skirt,https://us.sandro-paris.com/en/p/terry-knit-skirt/MFPJU01185_0101.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw46c30fd3/images/hi-res/Maje_MFPJU01185-0101_H_1.jpg?sw=720&sh=955
Terry knit cardigan,https://us.sandro-paris.com/en/p/terry-knit-cardigan/MFPCA00483_0101.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw26130491/images/hi-res/Maje_MFPCA00483-0101_H_1.jpg?sw=720&sh=955
Sequin knit cardigan,https://us.sandro-paris.com/en/p/sequin-knit-cardigan/MFPCA00486_0201.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw103cf145/images/hi-res/Maje_MFPCA00486-0201_H_1.jpg?sw=720&sh=955
Herringbone knit maxi dress,https://us.sandro-paris.com/en/p/herringbone-knit-maxi-dress/MFPRO03556_0515.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw884a9e69/images/hi-res/Maje_MFPRO03556-0515_H_1.jpg?sw=720&sh=955
Striped shirt dress,https://us.sandro-paris.com/en/p/striped-shirt-dress/MFPRO03582_L009.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw2c30690c/images/hi-res/Maje_MFPRO03582-L009_H_1.jpg?sw=720&sh=955
Short shirt dress,https://us.sandro-paris.com/en/p/short-shirt-dress/MFPRO03336_0201.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw33208a00/images/hi-res/Maje_MFPRO03336-0201_H_1.jpg?sw=720&sh=955
Tweed-look knit cardigan,https://us.sandro-paris.com/en/p/tweed-look-knit-cardigan/MFPCA00480_0500.html,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwe4c8f830/images/hi-res/Maje_MFPCA00480-0500_H_1.jpg?sw=720&sh=955
