Product Name,Color,Product URL,Unique Color ID,Scraped Available Sizes,Scraped Image URL,Price Before,Price After
RILEY SEQUINS TEE MINI DRESS,ONE_COLOR,https://thefrankieshop.com/products/riley-sequins-tee-mini-dress-bronze?_pos=55&_fid=040ea74ca&_ss=c&variant=43092111425696,O14E3O12O18,"S",https://cdn.shopify.com/s/files/1/1527/0993/files/RILEY-SEQUINS-TEE-MINI-DRESS-BRONZE-Kristin-13jan-30480_1.jpg?v=1684831968&width=1380,279 USD,81 USD
VIVIAN FLUID PLEATED BERMUDA SHORTS,ONE_COLOR,https://thefrankieshop.com/products/vivian-fluid-pleated-bermuda-shorts-beige-pinstripe?_pos=56&_fid=040ea74ca&_ss=c&variant=43375296643232,O14E3O12O18,"XS, L",https://cdn.shopify.com/s/files/1/1527/0993/products/VIVIAN-FLUID-PLEATED-BERMUDA-SHORTS-BEIGE-PINSTRIPE-MAHANY-26jan-35517_1.jpg?v=1686642757&width=1380,198 USD,84 USD
KARINA CROPPED T-SHIRT,ONE_COLOR,https://thefrankieshop.com/products/karina-cropped-t-shirt-red-mustard?_pos=57&_fid=040ea74ca&_ss=c&variant=41982394302624,O14E3O12O18,"XS/S",https://cdn.shopify.com/s/files/1/1527/0993/products/karina-cropped-t-shirt-redmustard-top-the-frankie-shop-110184.jpg?v=1652734718&width=1380,75 USD,27 USD
ELVIRA BELTED SUIT PANTS,ONE_COLOR,https://thefrankieshop.com/products/elvira-belted-suit-pants-pink?_pos=58&_fid=040ea74ca&_ss=c&variant=34800082649248,O14E3O12O18,"S",https://cdn.shopify.com/s/files/1/1527/0993/products/elvira-belted-suit-pants-with-button-tab-cuff-in-pink-pants-blossom-979888.jpg?v=1669123418&width=1380,234 USD,85 USD
ESTE FRINGE BOXER SHORTS,ONE_COLOR,https://thefrankieshop.com/products/este-fringe-boxer-shorts-blue-stripe?_pos=59&_fid=040ea74ca&_ss=c&variant=46529157726368,O14E3O12O18,"S, M",https://cdn.shopify.com/s/files/1/1527/0993/files/ESTE-FRINGE-BOXER-SHORTS-BLUE-STRIPE-KATE-14707.jpg?v=1693349059&width=1380,69 USD,49 USD
MARTINA KNIT SHORTS,ONE_COLOR,https://thefrankieshop.com/products/martina-knit-shorts-black-stripe?_pos=60&_fid=040ea74ca&_ss=c&variant=44816822796448,O14E3O12O18,"L",https://cdn.shopify.com/s/files/1/1527/0993/files/MARTINA-KNIT-SHORTS-BLACKSTRIPE-Mawena-25mai-19152_1.jpg?v=1686211729&width=1380,85 USD,30 USD
RILEY SEQUINS TEE MINI DRESS,ONE_COLOR,https://thefrankieshop.com/products/riley-sequins-tee-mini-dress-sky?_pos=61&_fid=040ea74ca&_ss=c&variant=43060260339872,O14E3O12O18,"XS, S",https://cdn.shopify.com/s/files/1/1527/0993/products/RILEYSEQUINSTEEMINIDRESS-SKY-kristin-30719.jpg?v=1684741903&width=1380,279 USD,72 USD
GIA CARGO PANTS,ONE_COLOR,https://thefrankieshop.com/products/gia-cargo-pants-khaki?_pos=62&_fid=040ea74ca&_ss=c&variant=42119779188896,O14E3O12O18,"XL",https://cdn.shopify.com/s/files/1/1527/0993/products/gia-cargo-pants-khaki-pants-the-frankie-shop-104108.jpg?v=1718282084&width=1380,288 USD,130 USD
JONES BOXY SEQUINS TEE,ONE_COLOR,https://thefrankieshop.com/products/jones-boxy-sequins-tee-sky?_pos=63&_fid=040ea74ca&_ss=c&variant=43092433961120,O14E3O12O18,"XS",https://cdn.shopify.com/s/files/1/1527/0993/products/JONESBOXYSEQUINSTEE-SKY-kristin-31893.jpg?v=1684741618&width=1380,235 USD,50 USD
LAUREL SLEEVELESS MAXI DRESS,ONE_COLOR,https://thefrankieshop.com/products/laurel-sleeveless-maxi-dress-white-pinstripe?_pos=64&_fid=040ea74ca&_ss=c&variant=45764334125216,O14E3O12O18,"S",https://cdn.shopify.com/s/files/1/1527/0993/files/LAUREL-SLEEVELESS-MAXI-DRESS-GREY-STRIPE-MAWENA-19111.jpg?v=1689950120&width=1380,119 USD,72 USD
MAEVE PINTUCK TROUSERS,ONE_COLOR,https://thefrankieshop.com/products/maeve-pintuck-trousers-cream?_pos=65&_fid=040ea74ca&_ss=c&variant=45790423548064,O14E3O12O18,"XS, S",https://cdn.shopify.com/s/files/1/1527/0993/files/MAEVE-PINTUCK-TROUSERS-CREAM-LOANE-12mai-16726_4_b414e70a-3a40-4c3b-9539-48330f709c82.jpg?v=1699627641&width=1380,155 USD,93 USD
DERYN BOMBER,ONE_COLOR,https://thefrankieshop.com/products/deryn-bomber-black?_pos=66&_fid=040ea74ca&_ss=c&variant=46936198676640,O14E3O12O18,"M, L",https://cdn.shopify.com/s/files/1/1527/0993/files/DERYN-BOMBER-BLACK-MARIE-26481.jpg?v=1695592084&width=1380,195 USD,117 USD
STINE PINTUCK PANTS,ONE_COLOR,https://thefrankieshop.com/products/stine-pintuck-pants-grey?_pos=67&_fid=040ea74ca&_ss=c,O14E3O12O18,"S, M, L",https://cdn.shopify.com/s/files/1/1527/0993/products/StinePintuckPants-Grey18893_1.jpg?v=1702547790&width=1380,199 USD,120 USD
JINAN SILKY MINI SKIRT,ONE_COLOR,https://thefrankieshop.com/products/jinan-silky-mini-skirt-silver?_pos=68&_fid=040ea74ca&_ss=c&variant=44261610029216,O14E3O12O18,"S",https://cdn.shopify.com/s/files/1/1527/0993/files/JINAN-SILKY-MINI-SKIRT-SILVER-ALEYNA-20230428-FRANKIE_SHOT-12_839.jpg?v=1683188933&width=1380,93 USD,53 USD
GLORIA SEQUINS ONE SHOULDER DRESS,ONE_COLOR,https://thefrankieshop.com/products/gloria-sequins-one-shoulder-dress-olive?_pos=69&_fid=040ea74ca&_ss=c&variant=43060091093152,O14E3O12O18,"XS",https://cdn.shopify.com/s/files/1/1527/0993/files/GLORIA-SEQUINS-ONE-SHOULDER-DRESS-OLIVE-DIPTI-21JUIN-8950_4.jpg?v=1688044862&width=1380,230 USD,49 USD
